id,pos,lemma,kind,target,example,markerStart,markerEnd,prefixContext,suffixContext,targetFound,markerCrossesBoundary,markerReason,auxExactFormMatch,auxSuggestedTarget,lemmaHasKanji,hasKanjiAidField,hasTargetReadingField
naku,verb,鳴く,カ行四段活用,鳴く,きりぎりす　鳴くや霜夜の　さむしろに　衣かたしき　ひとりかも寝む,5,7,ぎりす,や霜夜,True,False,,,,True,False,False
omou,verb,思ふ,ハ行四段活用,思ふ,わびぬれば　いまはたおなじ　難波なる　みをつくしても　あはむとぞ思ふ,28,30,むとぞ,,True,False,,,,True,False,False
miru,verb,見る,マ行上一段活用,見れ,田子の浦に　うちいでて見れば　白妙の　富士の高嶺に　雪はふりつつ,10,12,いでて,ば白妙,True,False,,,,True,False,False
nu_verb,verb,寝（ぬ）,ナ行下二段活用,ぬる,なげきつつ　ひとりぬる夜の　あくるまは　いかに久しき　ものとかはしる,8,10,ひとり,夜のあ,True,False,,,,True,False,False
kohu,verb,恋ふ,ハ行上二段活用,恋ひ,難波江の　芦のかりねの　ひとよゆゑ　みをつくしてや　恋ひわたるべき,22,24,してや,わたる,True,False,,,,True,False,False
ari,verb,あり,ラ行変格活用,ある,思ひわび　さてもいのちは　あるものを　憂きにたへぬは　涙なりけり,11,13,のちは,ものを,True,False,,,,False,False,False
shiru,verb,知る,ラ行四段活用,知る,なげきつつひとりぬる夜の明くる間はいかに久しきものとかは知る,28,30,とかは,,True,False,,,,True,False,False
kuru_dusk,verb,暮る,ラ行下二段活用,暮るる,明けぬれば暮るるものとは知りながらなほ恨めしき朝ぼらけかな,5,8,ぬれば,ものと,True,False,,,,True,False,False
wasuru,verb,忘る,ラ行下二段活用,忘れじ,忘れじの行く末まではかたければ今日を限りの命ともがな,0,3,,の行く,True,False,,,,True,False,False
tayu,verb,絶ゆ,ヤ行下二段活用,絶えて,滝の音は絶えて久しくなりぬれど名こそ流れてなほ聞こえけれ,4,7,の音は,久しく,True,False,,,,True,False,False
kikoyu,verb,聞こゆ,ヤ行下二段活用,聞こえ,滝の音は絶えて久しくなりぬれど名こそ流れてなほ聞こえけれ,23,26,てなほ,けれ,True,False,,,,True,False,False
izu,verb,出づ,ダ行下二段活用,出づる,秋風にたなびく雲の絶え間よりもれ出づる月の影のさやけさ,16,19,りもれ,月の影,True,False,,,,True,False,False
yuku,verb,行く,カ行四段活用,行く,忘れじの行く末まではかたければ今日を限りの命ともがな,4,6,れじの,末まで,True,False,,,,True,False,False
ku,verb,来（く）,カ行変格活用,来,八重むぐらしげれる宿のさびしきに人こそ見えね秋は来にけり,24,25,ね秋は,にけり,True,False,,,,True,False,False
au,verb,逢ふ,ハ行四段活用,逢ふ,あらざらむこの世のほかの思ひ出に今ひとたびの逢ふこともがな,22,24,たびの,ことも,True,False,,,,True,False,False
inoru,verb,祈る,ラ行四段活用,祈ら,憂かりける人を初瀬の山おろしよはげしかれとは祈らぬものを,22,24,れとは,ぬもの,True,False,,,,True,False,False
su_verb,verb,す,サ行変格活用,する,有馬山ゐなの笹原風吹けばいでそよ人を忘れやはする,22,24,れやは,,True,False,,,,False,False,False
nuru_wet,verb,濡る,ラ行下二段活用,ぬれ,秋の田のかりほの庵の苫をあらみわが衣手は露にぬれつつ,22,24,は露に,つつ,True,False,,,,True,False,False
sugu,verb,過ぐ,ガ行上二段活用,すぐして,難波潟みじかき芦のふしのまもあはでこの世をすぐしてよとや,21,25,の世を,よとや,True,False,,,,True,False,False
kiku,verb,聞く,カ行四段活用,聞く,奥山にもみぢふみわけなく鹿の声聞くときぞ秋はかなしき,15,17,鹿の声,ときぞ,True,False,,,,True,False,False
oku,verb,置く,カ行四段活用,おく,かさゝぎの渡せる橋におく霜の白きを見れば夜ぞふけにける,10,12,る橋に,霜の白,True,False,,,,True,False,False
fuku,verb,吹く,カ行四段活用,吹く,吹くからに秋の草木のしをるればむべ山風を嵐といふらむ,0,2,,からに,True,False,,,,True,False,False
tozu,verb,閉づ,ダ行上二段活用,とぢよ,天つ風雲のかよひ路吹きとぢよをとめの姿しばしとどめむ,11,14,路吹き,をとめ,True,False,,,,True,False,False
todomu,verb,留む,マ行下二段活用,とどめ,天つ風雲のかよひ路吹きとぢよをとめの姿しばしとどめむ,22,25,しばし,む,True,False,,,,True,False,False
otsu,verb,落つ,タ行上二段活用,おつる,つくばねの峰よりおつるみなの川こひぞつもりて淵となりぬる,8,11,峰より,みなの,True,False,,,,True,False,False
tsumoru,verb,積もる,ラ行四段活用,つもり,つくばねの峰よりおつるみなの川こひぞつもりて淵となりぬる,18,21,こひぞ,て淵と,True,False,,,,True,False,False
naru_verb,verb,成る,ラ行四段活用,なり,つくばねの峰よりおつるみなの川こひぞつもりて淵となりぬる,24,26,て淵と,ぬる,True,False,,,,True,False,False
midaru,verb,乱る,ラ行下二段活用,乱れ,みちのくのしのぶもぢずり誰ゆゑに乱れそめにしわれならなくに,16,18,ゆゑに,そめに,True,False,,,,True,False,False
tsumu,verb,摘む,マ行四段活用,つむ,君がため春の野にいでて若菜つむわが衣手に雪はふりつつ,13,15,て若菜,わが衣,True,False,,,,True,False,False
ou,verb,生ふ,ハ行上二段活用,生ふる,立ちわかれいなばの山の峯に生ふるまつとし聞かばいま帰り来む,13,16,の峯に,まつと,True,False,,,,True,False,False
matsu,verb,待つ,タ行四段活用,まつ,立ちわかれいなばの山の峯に生ふるまつとし聞かばいま帰り来む,16,18,生ふる,とし聞,True,False,,,,True,False,False
kaeru,verb,帰る,ラ行四段活用,帰り,立ちわかれいなばの山の峯に生ふるまつとし聞かばいま帰り来む,25,27,ばいま,来む,True,False,,,,True,False,False
